"Colorado Medicaid Fee Schedule January 1, 2012",,,,,,,,,
"The reimbursement rates listed in this fee schedule are valid for services rendered on or after January 1, 2012.  Please refer to the Fee Schedule Instructions on the website for an explanation of each field.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
CPT or HCPCS Procedure Code,Procedure Code Modifier,Base Value,Conversion Factor,Total CO Medicaid Allowable (Relative Value x Conversion Factor),Min Age,Max Age,Post Op Days,Prior Authorization Needed,
00932,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
00934,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
00936,,8,20.17,Varies based on total anesthesia time,0,999,0,No,
00938,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
00940,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
00942,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
00944,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
00948,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
00950,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
00952,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
0095T,,6.32,32.47,$205.21,0,999,0,No,
0098T,,6.32,32.47,$205.21,0,999,0,No,
0099T,,,,Not a benefit,,,,,
0100T,,,,Not a benefit,,,,,
0101T,,549.45,2.68,"$1,472.53",0,999,0,No,
0102T,,549.45,2.68,"$1,472.53",0,999,0,No,
0103T,,17.59,1.00,$17.59,0,999,0,No,
0106T,,,,Not a benefit,,,,,
0107T,,,,Not a benefit,,,,,
0108T,,,,Not a benefit,,,,,
0109T,,,,Not a benefit,,,,,
0110T,,,,Not a benefit,,,,,
01112,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
0111T,,21.08,1.00,$21.08,0,999,0,No,
01120,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
01130,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
01140,,15,20.17,Varies based on total anesthesia time,0,999,0,No,
01150,,10,20.17,Varies based on total anesthesia time,0,999,0,No,
01160,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
01170,,8,20.17,Varies based on total anesthesia time,0,999,0,No,
01173,,12,20.17,Varies based on total anesthesia time,0,999,0,No,
01180,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
01190,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
01200,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
01202,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
01210,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
01212,,10,20.17,Varies based on total anesthesia time,0,999,0,No,
01214,,10,20.17,Varies based on total anesthesia time,0,999,0,No,
01215,,10,20.17,Varies based on total anesthesia time,0,999,0,No,
01220,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
01230,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
01232,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
01234,,8,20.17,Varies based on total anesthesia time,0,999,0,No,
0123T,,47.76,32.47,"$1,550.77",0,999,0,No,
0124T,,9.34,32.47,$303.27,0,999,0,No,
01250,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
01260,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
0126T,,32.38,2.68,$86.78,0,999,0,No,
01270,,8,20.17,Varies based on total anesthesia time,0,999,0,No,
01272,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
01274,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
01320,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
01340,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
01360,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
01380,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
01382,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
01390,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
01392,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
