,,,,,,,,,
"The reimbursement rates listed in this fee schedule are valid for services rendered on or after July 1, 2015 Please refer to the Fee Schedule Instructions on the website for an explaination of each field",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
CPT or HCPCS Procedure Code,Procedure Code Modifier,Base Value,Conversion Factor,Total CO Medicaid Allowable (Base Value x Conversion Factor),Min Age,Max Age,Post Op Days,Prior Authorization Needed,
00790,,7.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00792,,13.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00794,,8.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00796,,30.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00797,,10.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00800,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00802,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00810,,6.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00820,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00830,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00832,,6.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00834,,6.00,28.61,Varies based on total anesthesia time,000,0,000,No,
00836,,6.00,28.61,Varies based on total anesthesia time,000,1,000,No,
00840,,6.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00842,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00844,,7.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00846,,8.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00848,,8.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00851,,7.00,28.61,Varies based on total anesthesia time,021,999,000,No,
0085T,,17.21,1.00,$17.21,000,999,000,No,
00860,,6.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00862,,7.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00864,,8.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00865,,8.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00866,,10.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00868,,10.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00870,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00872,,7.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00873,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00880,,15.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00882,,10.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00902,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00904,,7.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00906,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00908,,6.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00910,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00912,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00914,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00916,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00918,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00920,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00921,,3.00,28.61,Varies based on total anesthesia time,021,999,000,No,
00922,,6.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00924,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00926,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00928,,6.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00930,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00932,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00934,,6.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00936,,8.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00938,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00940,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00942,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00944,,6.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00948,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00950,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
00952,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
0095T,,6.32,33.94,$214.50,000,999,000,No,
0098T,,6.32,33.94,$214.50,000,999,000,No,
0099T,,,,Not a benefit,,,,,
0100T,,,,Not a benefit,,,,,
0101T,,549.45,2.79,"$1,532.97",000,999,000,No,
0102T,,549.45,2.79,"$1,532.97",000,999,000,No,
0103T,,18.30,1.00,$18.30,000,999,000,No,
0106T,,,,Not a benefit,,,,,
0107T,,,,Not a benefit,,,,,
0108T,,,,Not a benefit,,,,,
0109T,,,,Not a benefit,,,,,
0110T,,,,Not a benefit,,,,,
01112,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
0111T,,21.93,1.00,$21.93,000,999,000,No,
01120,,6.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01130,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
