"Colorado Medicaid Fee Schedule January 1, 2014",,,,,,,,,,,,
"The reimbursement rates listed in this fee schedule are valid for services rendered on or after January 1, 2014  Please refer to the Fee Schedule Instructions on the website for an explaination of each field",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
CPT or HCPCS Procedure Code,Procedure Code Modifier,Base Value,Conversion Factor,Total CO Medicaid Allowable (Base Value x Conversion Factor),Min Age,Max Age,Post Op Days,Prior Authorization Needed,,,,
28446,,20.19,33.11,$668.49,000,999,090,No,,,,
28450,,2.60,33.11,$86.09,000,999,090,No,,,,
28455,,3.70,33.11,$122.51,000,999,090,No,,,,
28456,,4.50,33.11,$149.00,000,999,090,No,,,,
28465,,6.00,33.11,$198.66,000,999,090,No,,,,
28470,,2.20,33.11,$72.84,000,999,090,No,,,,
28475,,2.80,33.11,$92.71,000,999,090,No,,,,
28476,,4.50,33.11,$149.00,000,999,090,No,,,,
28485,,6.00,33.11,$198.66,000,999,090,No,,,,
28490,,0.90,33.11,$29.80,000,999,090,No,,,,
28495,,1.20,33.11,$39.73,000,999,090,No,,,,
28496,,4.00,33.11,$132.44,000,999,090,No,,,,
28505,,3.60,33.11,$119.20,000,999,090,No,,,,
28510,,0.70,33.11,$23.18,000,999,090,No,,,,
28515,,1.20,33.11,$39.73,000,999,090,No,,,,
28525,,3.00,33.11,$99.33,000,999,090,No,,,,
28530,,2.68,33.11,$88.73,000,999,090,No,,,,
28531,,7.09,33.11,$234.75,000,999,090,No,,,,
28540,,3.00,33.11,$99.33,000,999,090,No,,,,
28545,,3.50,33.11,$115.89,000,999,090,No,,,,
28546,,4.50,33.11,$149.00,000,999,090,No,,,,
28555,,6.00,33.11,$198.66,000,999,090,No,,,,
28570,,2.40,33.11,$79.46,000,999,090,No,,,,
28575,,2.40,33.11,$79.46,000,999,090,No,,,,
28576,,7.66,33.11,$253.62,000,999,090,No,,,,
28585,,10.00,33.11,$331.10,000,999,090,No,,,,
28600,,2.00,33.11,$66.22,000,999,090,No,,,,
28605,,3.00,33.11,$99.33,000,999,090,No,,,,
28606,,6.00,33.11,$198.66,000,999,090,No,,,,
28615,,6.00,33.11,$198.66,000,999,090,No,,,,
28630,,1.80,33.11,$59.60,000,999,010,No,,,,
28635,,1.80,33.11,$59.60,000,999,010,No,,,,
28636,,4.96,33.11,$164.23,000,999,010,No,,,,
28645,,4.00,33.11,$132.44,000,999,090,No,,,,
28660,,1.20,33.11,$39.73,000,999,010,No,,,,
28665,,1.20,33.11,$39.73,000,999,010,No,,,,
28666,,4.65,33.11,$153.96,000,999,010,No,,,,
28675,,2.40,33.11,$79.46,000,999,090,No,,,,
28705,,16.00,33.11,$529.76,000,999,090,No,,,,
28715,,12.00,33.11,$397.32,000,999,090,No,,,,
28725,,10.00,33.11,$331.10,000,999,090,No,,,,
28730,,11.00,33.11,$364.21,000,999,090,No,,,,
28735,,14.00,33.11,$463.54,000,999,090,No,,,,
28737,,12.00,33.11,$397.32,000,999,090,No,,,,
28740,,9.00,33.11,$297.99,000,999,090,No,,,,
28750,,7.00,33.11,$231.77,000,999,090,No,,,,
28755,,4.80,33.11,$158.93,000,999,090,No,,,,
28760,,6.00,33.11,$198.66,000,999,090,No,,,,
28800,,10.00,33.11,$331.10,000,999,090,No,,,,
28805,,10.00,33.11,$331.10,000,999,090,No,,,,
28810,,6.00,33.11,$198.66,000,999,090,No,,,,
28820,,3.00,33.11,$99.33,000,999,090,No,,,,
28825,,2.00,33.11,$66.22,000,999,090,No,,,,
28890,,7.25,33.11,$240.05,000,999,090,No,,,,
28899,,,,Code is manually priced,000,999,060,No,,,,
29000,,5.00,33.11,$165.55,000,999,000,No,,,,
29010,,3.00,33.11,$99.33,000,999,000,No,,,,
29015,,3.60,33.11,$119.20,000,999,000,No,,,,
29020,,3.00,33.11,$99.33,000,999,000,No,,,,
29025,,3.60,33.11,$119.20,000,999,000,No,,,,
29035,,2.30,33.11,$76.15,000,999,000,No,,,,
29040,,3.40,33.11,$112.57,000,999,000,No,,,,
29044,,2.50,33.11,$82.78,000,999,000,No,,,,
29046,,2.80,33.11,$92.71,000,999,000,No,,,,
29049,,1.30,33.11,$43.04,000,999,000,No,,,,
29055,,1.70,33.11,$56.29,000,999,000,No,,,,
29058,,1.30,33.11,$43.04,000,999,000,No,,,,
29065,,0.80,33.11,$26.49,000,999,000,No,,,,
29075,,1.66,33.11,$54.96,000,999,000,No,,,,
29085,,0.60,33.11,$19.87,000,999,000,No,,,,
29086,,1.20,33.11,$39.73,000,999,000,No,,,,
29105,,0.50,33.11,$16.56,000,999,000,No,,,,
29125,,0.50,33.11,$16.56,000,999,000,No,,,,
29126,,1.30,33.11,$43.04,000,999,000,No,,,,
29130,,0.50,33.11,$16.56,000,999,000,No,,,,
29131,,1.19,33.11,$39.40,000,999,000,No,,,,
29200,,0.40,33.11,$13.24,000,999,000,No,,,,
29240,,0.60,33.11,$19.87,000,999,000,No,,,,
29260,,0.30,33.11,$9.93,000,999,000,No,,,,
29280,,0.30,33.11,$9.93,000,999,000,No,,,,
29305,,1.70,33.11,$56.29,000,999,000,No,,,,
29325,,2.10,33.11,$69.53,000,999,000,No,,,,
29345,,1.10,33.11,$36.42,000,999,000,No,,,,
29355,,1.30,33.11,$43.04,000,999,000,No,,,,
29358,,1.00,33.11,$33.11,000,999,000,No,,,,
29365,,0.90,33.11,$29.80,000,999,000,No,,,,
29405,,0.80,33.11,$26.49,000,999,000,No,,,,
29425,,1.00,33.11,$33.11,000,999,000,No,,,,
29435,,2.00,33.11,$66.22,000,999,000,No,,,,
29440,,0.30,33.11,$9.93,000,999,000,No,,,,
29445,,3.30,33.11,$109.26,000,999,000,No,,,,
29450,,0.40,33.11,$13.24,000,999,000,No,,,,
29505,,0.80,33.11,$26.49,000,999,000,No,,,,
29515,,0.60,33.11,$19.87,000,999,000,No,,,,
29520,,0.50,33.11,$16.56,000,999,000,No,,,,
29530,,0.40,33.11,$13.24,000,999,000,No,,,,
29540,,0.30,33.11,$9.93,000,999,000,No,,,,
29550,,0.30,33.11,$9.93,000,999,000,No,,,,
29580,,1.07,33.11,$35.43,000,999,000,No,,,,
29581,,1.52,33.11,$50.33,000,999,000,No,,,,
29582,,1.61,33.11,$53.31,000,999,000,No,,,,
29583,,1.00,33.11,$33.11,000,999,000,No,,,,
29584,,1.61,33.11,$53.31,000,999,000,No,,,,
29700,,0.40,33.11,$13.24,000,999,000,No,,,,
29705,,0.40,33.11,$13.24,000,999,000,No,,,,
29710,,0.70,33.11,$23.18,000,999,000,No,,,,
29715,,0.70,33.11,$23.18,000,999,000,No,,,,
29720,,0.30,33.11,$9.93,000,999,000,No,,,,
29730,,0.30,33.11,$9.93,000,999,000,No,,,,
29740,,0.30,33.11,$9.93,000,999,000,No,,,,
29750,,0.30,33.11,$9.93,000,999,000,No,,,,
29799,,,,Code is manually priced,000,999,000,No,,,,
29800,,11.28,33.11,$373.48,000,999,090,No,,,,
29804,,15.96,33.11,$528.44,000,999,090,No,,,,
29805,,7.88,33.11,$260.91,000,999,090,No,,,,
29806,,21.99,33.11,$728.09,000,999,090,No,,,,
29807,,21.40,33.11,$708.55,000,999,090,No,,,,
29819,,7.70,33.11,$254.95,000,999,090,No,,,,
29820,,3.60,33.11,$119.20,000,999,090,No,,,,
29821,,3.60,33.11,$119.20,000,999,090,No,,,,
29822,,3.60,33.11,$119.20,000,999,090,No,,,,
29823,,3.60,33.11,$119.20,000,999,090,No,,,,
29824,,13.42,33.11,$444.34,000,999,090,No,,,,
29825,,3.60,33.11,$119.20,000,999,090,No,,,,
29826,,13.57,33.11,$449.30,000,999,090,No,,,,
29827,,21.85,33.11,$723.45,000,999,090,No,,,,
29828,,15.54,33.11,$514.53,000,999,090,No,,,,
29830,,5.20,33.11,$172.17,000,999,090,No,,,,
29834,,7.70,33.11,$254.95,000,999,090,No,,,,
29835,,3.60,33.11,$119.20,000,999,090,No,,,,
29836,,3.60,33.11,$119.20,000,999,090,No,,,,
29837,,3.60,33.11,$119.20,000,999,090,No,,,,
29838,,3.60,33.11,$119.20,000,999,090,No,,,,
29840,,5.00,33.11,$165.55,000,999,090,No,,,,
29843,,5.20,33.11,$172.17,000,999,090,No,,,,
29844,,1.47,33.11,$48.67,000,999,090,No,,,,
29845,,2.90,33.11,$96.02,000,999,090,No,,,,
29846,,5.70,33.11,$188.73,000,999,090,No,,,,
29847,,2.50,33.11,$82.78,000,999,090,No,,,,
29848,,6.05,33.11,$200.32,000,999,090,No,,,,
29850,,14.03,33.11,$464.53,000,999,090,No,,,,
29851,,21.38,33.11,$707.89,000,999,090,No,,,,
29855,,16.55,33.11,$547.97,000,999,090,No,,,,
29856,,24.06,33.11,$796.63,000,999,090,No,,,,
29860,,10.33,33.11,$342.03,000,999,090,No,,,,
29861,,15.39,33.11,$509.56,000,999,090,No,,,,
29862,,16.89,33.11,$559.23,000,999,090,No,,,,
29863,,15.43,33.11,$510.89,000,999,090,No,,,,
29866,,21.87,33.11,$724.12,000,999,090,No,,,,
29867,,26.14,33.11,$865.50,000,999,090,No,,,,
29868,,35.34,33.11,"$1,170.11",000,999,090,No,,,,
29870,,9.96,33.11,$329.78,000,999,090,No,,,,
29871,,13.00,33.11,$430.43,000,999,090,No,,,,
29873,,10.11,33.11,$334.74,000,999,090,No,,,,
29874,,7.80,33.11,$258.26,000,999,090,No,,,,
29875,,7.80,33.11,$258.26,000,999,090,No,,,,
29876,,11.80,33.11,$390.70,000,999,090,No,,,,
29877,,7.80,33.11,$258.26,000,999,090,No,,,,
29879,,13.87,33.11,$459.24,000,999,090,No,,,,
29880,,14.00,33.11,$463.54,000,999,090,No,,,,
29881,,8.80,33.11,$291.37,000,999,090,No,,,,
29882,,7.80,33.11,$258.26,000,999,090,No,,,,
29883,,17.00,33.11,$562.87,000,999,090,No,,,,
29884,,7.80,33.11,$258.26,000,999,090,No,,,,
29885,,14.00,33.11,$463.54,000,999,090,No,,,,
29886,,7.80,33.11,$258.26,000,999,090,No,,,,
29887,,9.30,33.11,$307.92,000,999,090,No,,,,
29888,,17.00,33.11,$562.87,000,999,090,No,,,,
29889,,17.00,33.11,$562.87,000,999,090,No,,,,
29891,,10.88,33.11,$360.24,000,999,090,No,,,,
29892,,14.90,33.11,$493.34,000,999,090,No,,,,
29893,,8.31,33.11,$275.14,000,999,090,No,,,,
29894,,8.80,33.11,$291.37,000,999,090,No,,,,
29895,,12.70,33.11,$420.50,000,999,090,No,,,,
29897,,3.60,33.11,$119.20,000,999,090,No,,,,
29898,,3.60,33.11,$119.20,000,999,090,No,,,,
29899,,20.05,33.11,$663.86,000,999,090,No,,,,
29900,,9.54,33.11,$315.87,000,999,090,No,,,,
29901,,10.52,33.11,$348.32,000,999,090,No,,,,
29902,,11.28,33.11,$373.48,000,999,090,No,,,,
29904,,10.48,33.11,$346.99,000,999,090,No,,,,
29905,,11.30,33.11,$374.14,000,999,090,No,,,,
29906,,11.91,33.11,$394.34,000,999,090,No,,,,
29907,,14.53,33.11,$481.09,000,999,090,No,,,,
29914,,23.03,33.11,$762.52,000,999,000,No,,,,
29915,,23.46,33.11,$776.76,000,999,000,No,,,,
29916,,23.46,33.11,$776.76,000,999,000,No,,,,
29999,,,,Code is manually priced,000,999,090,No,,,,
30000,,2.00,33.11,$66.22,000,999,010,No,,,,
30020,,4.00,33.11,$132.44,000,999,010,No,,,,
3006F,,,,Not a benefit ,,,,,,,,
3008F,,,,Not a benefit ,,,,,,,,
30100,,0.70,33.11,$23.18,000,999,000,No,,,,
30110,,2.00,33.11,$66.22,000,999,010,No,,,,
30115,,5.00,33.11,$165.55,000,999,090,No,,,,
30117,,2.00,33.11,$66.22,000,999,090,No,,,,
30118,,8.00,33.11,$264.88,000,999,090,No,,,,
3011F,,,,Not a benefit ,,,,,,,,
30120,,6.00,33.11,$198.66,000,999,090,No,,,,
30124,,2.00,33.11,$66.22,000,999,090,No,,,,
30125,,8.00,33.11,$264.88,000,999,090,No,,,,
30130,,2.50,33.11,$82.78,000,999,090,No,,,,
30140,,5.50,33.11,$182.11,000,999,090,No,,,,
3014F,,,,Not a benefit ,,,,,,,,
30150,,6.00,33.11,$198.66,000,999,090,No,,,,
3015F,,,,Not a benefit ,,,,,,,,
30160,,10.00,33.11,$331.10,000,999,090,No,,,,
3016F,,,,Not a benefit ,,,,,,,,
3017F,,,,Not a benefit ,,,,,,,,
3018F,,,,Not a benefit ,,,,,,,,
3019F,,,,Not a benefit ,,,,,,,,
30200,,0.80,33.11,$26.49,000,999,000,No,,,,
3020F,,,,Not a benefit ,,,,,,,,
30210,,0.20,33.11,$6.62,000,999,010,No,,,,
3021F,,,,Not a benefit ,,,,,,,,
30220,,1.80,33.11,$59.60,000,999,010,No,,,,
3022F,,,,Not a benefit ,,,,,,,,
3023F,,,,Not a benefit ,,,,,,,,
3025F,,,,Not a benefit ,,,,,,,,
3027F,,,,Not a benefit ,,,,,,,,
3028F,,,,Not a benefit ,,,,,,,,
30300,,1.30,33.11,$43.04,000,999,010,No,,,,
30310,,2.50,33.11,$82.78,000,999,010,No,,,,
30320,,6.00,33.11,$198.66,000,999,090,No,,,,
3035F,,,,Not a benefit ,,,,,,,,
3037F,,,,Not a benefit ,,,,,,,,
3038F,,,,Not a benefit ,,,,,,,,
30400,,12.00,33.11,$397.32,000,999,090,Yes,,,,
3040F,,,,Not a benefit ,,,,,,,,
30410,,18.00,33.11,$595.98,000,999,090,Yes,,,,
30420,,24.00,33.11,$794.64,000,999,090,Yes,,,,
3042F,,,,Not a benefit ,,,,,,,,
30430,,3.00,33.11,$99.33,000,999,090,Yes,,,,
30435,,5.50,33.11,$182.11,000,999,090,Yes,,,,
3044F,,,,Not a benefit ,,,,,,,,
30450,,6.00,33.11,$198.66,000,999,090,Yes,,,,
3045F,,,,Not a benefit ,,,,,,,,
30460,,13.66,33.11,$452.28,000,999,090,No,,,,
30462,,27.32,33.11,$904.57,000,999,090,No,,,,
30465,,18.10,33.11,$599.29,000,999,090,No,,,,
3046F,,,,Not a benefit ,,,,,,,,
3048F,,,,Not a benefit ,,,,,,,,
3049F,,,,Not a benefit ,,,,,,,,
3050F,,,,Not a benefit ,,,,,,,,
30520,,11.00,33.11,$364.21,000,999,090,Yes,,,,
30540,,13.00,33.11,$430.43,000,999,090,No,,,,
30545,,18.00,33.11,$595.98,000,999,090,No,,,,
3055F,,,,Not a benefit ,,,,,,,,
30560,,0.80,33.11,$26.49,000,999,010,No,,,,
3056F,,,,Not a benefit ,,,,,,,,
30580,,10.00,33.11,$331.10,000,999,090,No,,,,
30600,,10.00,33.11,$331.10,000,999,090,No,,,,
3060F,,,,Not a benefit ,,,,,,,,
3061F,,,,Not a benefit ,,,,,,,,
30620,,10.00,33.11,$331.10,000,999,090,No,,,,
3062F,,,,Not a benefit ,,,,,,,,
30630,,10.00,33.11,$331.10,000,999,090,No,,,,
3066F,,,,Not a benefit ,,,,,,,,
3072F,,,,Not a benefit ,,,,,,,,
3073F,,,,Not a benefit ,,,,,,,,
3074F,,,,Not a benefit ,,,,,,,,
3075F,,,,Not a benefit ,,,,,,,,
3077F,,,,Not a benefit ,,,,,,,,
3078F,,,,Not a benefit ,,,,,,,,
3079F,,,,Not a benefit ,,,,,,,,
30801,,0.82,33.11,$27.15,000,999,010,No,,,,
30802,,1.03,33.11,$34.10,000,999,010,No,,,,
3080F,,,,Not a benefit ,,,,,,,,
3082F,,,,Not a benefit ,,,,,,,,
3083F,,,,Not a benefit ,,,,,,,,
3084F,,,,Not a benefit ,,,,,,,,
3085F,,,,Not a benefit ,,,,,,,,
3088F,,,,Not a benefit ,,,,,,,,
3089F,,,,Not a benefit ,,,,,,,,
30901,,0.60,33.11,$19.87,000,999,000,No,,,,
30903,,1.40,33.11,$46.35,000,999,000,No,,,,
30905,,3.10,33.11,$102.64,000,999,000,No,,,,
30906,,3.10,33.11,$102.64,000,999,000,No,,,,
3090F,,,,Not a benefit ,,,,,,,,
30915,,10.00,33.11,$331.10,000,999,090,No,,,,
3091F,,,,Not a benefit ,,,,,,,,
30920,,15.00,33.11,$496.65,000,999,090,No,,,,
3092F,,,,Not a benefit ,,,,,,,,
30930,,1.00,33.11,$33.11,000,999,010,No,,,,
3093F,,,,Not a benefit ,,,,,,,,
3095F,,,,Not a benefit ,,,,,,,,
3096F,,,,Not a benefit ,,,,,,,,
30999,,,,Code is manually priced,000,999,090,No,,,,
31000,,1.20,33.11,$39.73,000,999,010,No,,,,
31002,,0.80,33.11,$26.49,000,999,010,No,,,,
3100F,,,,Not a benefit ,,,,,,,,
31020,,6.00,33.11,$198.66,000,999,090,No,,,,
31030,,14.00,33.11,$463.54,000,999,090,No,,,,
31032,,13.90,33.11,$460.23,000,999,090,No,,,,
31040,,18.31,33.11,$606.24,000,999,090,No,,,,
31050,,7.80,33.11,$258.26,000,999,090,No,,,,
31051,,10.00,33.11,$331.10,000,999,090,No,,,,
31070,,10.00,33.11,$331.10,000,999,090,No,,,,
31075,,15.00,33.11,$496.65,000,999,090,No,,,,
31080,,16.00,33.11,$529.76,000,999,090,No,,,,
31081,,16.00,33.11,$529.76,000,999,090,No,,,,
31084,,24.00,33.11,$794.64,000,999,090,No,,,,
31085,,24.00,33.11,$794.64,000,999,090,No,,,,
31086,,18.00,33.11,$595.98,000,999,090,No,,,,
31087,,18.00,33.11,$595.98,000,999,090,No,,,,
31090,,23.00,33.11,$761.53,000,999,090,No,,,,
3110F,,,,Not a benefit ,,,,,,,,
3111F,,,,Not a benefit ,,,,,,,,
3112F,,,,Not a benefit ,,,,,,,,
3115F,,,,Not a benefit ,,,,,,,,
3117F,,,,Not a benefit ,,,,,,,,
3118F,,,,Not a benefit ,,,,,,,,
3119F,,,,Not a benefit ,,,,,,,,
31200,,7.00,33.11,$231.77,000,999,090,No,,,,
31201,,12.00,33.11,$397.32,000,999,090,No,,,,
31205,,15.00,33.11,$496.65,000,999,090,No,,,,
3120F,,,,Not a benefit ,,,,,,,,
31225,,22.00,33.11,$728.42,000,999,090,No,,,,
31230,,28.00,33.11,$927.08,000,999,090,No,,,,
31231,,1.73,33.11,$57.28,000,999,000,No,,,,
31233,,3.61,33.11,$119.53,000,999,000,No,,,,
31235,,3.14,33.11,$103.97,000,999,000,No,,,,
31237,,3.95,33.11,$130.78,000,999,000,No,,,,
31238,,3.92,33.11,$129.79,000,999,000,No,,,,
31239,,15.98,33.11,$529.10,000,999,010,No,,,,
31240,,4.14,33.11,$137.08,000,999,000,No,,,,
31254,,7.09,33.11,$234.75,000,999,000,No,,,,
31255,,10.46,33.11,$346.33,000,999,000,No,,,,
31256,,5.13,33.11,$169.85,000,999,000,No,,,,
3125F,,,,Not a benefit ,,,,,,,,
31267,,8.66,33.11,$286.73,000,999,000,No,,,,
31276,,13.64,33.11,$451.62,000,999,000,No,,,,
31287,,6.03,33.11,$199.65,000,999,000,No,,,,
31288,,6.99,33.11,$231.44,000,999,000,No,,,,
31290,,29.13,33.11,$964.49,000,999,010,No,,,,
31291,,30.70,33.11,"$1,016.48",000,999,010,No,,,,
31292,,26.57,33.11,$879.73,000,999,010,No,,,,
31293,,27.47,33.11,$909.53,000,999,010,No,,,,
31294,,33.20,33.11,"$1,099.25",000,999,010,No,,,,
31295,,46.40,33.11,"$1,536.30",000,999,000,No,,,,
31296,,86.91,33.11,"$2,877.59",000,999,000,No,,,,
31297,,86.11,33.11,"$2,851.10",000,999,000,No,,,,
31299,,,,Code is manually priced,000,999,010,No,,,,
31300,,14.00,33.11,$463.54,000,999,090,No,,,,
3130F,,,,Not a benefit ,,,,,,,,
31320,,8.00,33.11,$264.88,000,999,090,No,,,,
3132F,,,,Not a benefit ,,,,,,,,
31360,,26.00,33.11,$860.86,000,999,090,No,,,,
31365,,36.00,33.11,"$1,191.96",000,999,090,No,,,,
31367,,26.00,33.11,$860.86,000,999,090,No,,,,
31368,,36.00,33.11,"$1,191.96",000,999,090,No,,,,
31370,,28.00,33.11,$927.08,000,999,090,No,,,,
31375,,23.00,33.11,$761.53,000,999,090,No,,,,
31380,,23.00,33.11,$761.53,000,999,090,No,,,,
31382,,23.00,33.11,$761.53,000,999,090,No,,,,
31390,,30.00,33.11,$993.30,000,999,090,No,,,,
31395,,38.00,33.11,"$1,258.18",000,999,090,No,,,,
31400,,20.00,33.11,$662.20,000,999,090,No,,,,
3140F,,,,Not a benefit ,,,,,,,,
3141F,,,,Not a benefit ,,,,,,,,
31420,,16.00,33.11,$529.76,000,999,090,No,,,,
3142F,,,,Not a benefit ,,,,,,,,
31500,,1.40,33.11,$46.35,000,999,000,No,,,,
31502,,0.91,33.11,$30.13,000,999,000,No,,,,
31505,,0.40,33.11,$13.24,000,999,000,No,,,,
3150F,,,,Not a benefit ,,,,,,,,
31510,,0.60,33.11,$19.87,000,999,000,No,,,,
31511,,1.60,33.11,$52.98,000,999,000,No,,,,
31512,,1.00,33.11,$33.11,000,999,000,No,,,,
31513,,3.38,33.11,$111.91,000,999,000,No,,,,
31515,,0.60,33.11,$19.87,000,999,000,No,,,,
31520,,3.15,33.11,$104.30,000,1,000,No,,,,
31525,,3.40,33.11,$112.57,000,999,000,No,,,,
31526,,4.06,33.11,$134.43,000,999,000,No,,,,
31527,,4.96,33.11,$164.23,000,999,000,No,,,,
31528,,3.70,33.11,$122.51,000,999,000,No,,,,
31529,,2.40,33.11,$79.46,000,999,000,No,,,,
31530,,5.11,33.11,$169.19,000,999,000,No,,,,
31531,,5.50,33.11,$182.11,000,999,000,No,,,,
31535,,4.89,33.11,$161.91,000,999,000,No,,,,
31536,,5.46,33.11,$180.78,000,999,000,No,,,,
31540,,6.00,33.11,$198.66,000,999,000,No,,,,
31541,,6.87,33.11,$227.47,000,999,000,No,,,,
31545,,8.11,33.11,$268.52,000,999,000,No,,,,
31546,,12.35,33.11,$408.91,000,999,000,No,,,,
3155F,,,,Not a benefit ,,,,,,,,
31560,,8.13,33.11,$269.18,000,999,000,No,,,,
31561,,8.91,33.11,$295.01,000,999,000,No,,,,
31570,,8.00,33.11,$264.88,000,999,000,No,,,,
31571,,6.48,33.11,$214.55,000,999,000,No,,,,
31575,,1.00,33.11,$33.11,000,999,000,No,,,,
31576,,0.40,33.11,$13.24,000,999,000,No,,,,
31577,,0.60,33.11,$19.87,000,999,000,No,,,,
31578,,1.00,33.11,$33.11,000,999,000,No,,,,
31579,,5.40,33.11,$178.79,000,999,000,No,,,,
31580,,24.00,33.11,$794.64,000,999,090,No,,,,
31582,,24.00,33.11,$794.64,000,999,090,No,,,,
31584,,24.00,33.11,$794.64,000,999,090,No,,,,
31587,,24.00,33.11,$794.64,000,999,090,No,,,,
31588,,20.36,33.11,$674.12,000,999,090,No,,,,
31590,,20.00,33.11,$662.20,000,999,090,No,,,,
31595,,16.00,33.11,$529.76,000,999,090,No,,,,
31599,,,,Code is manually priced,000,999,090,No,,,,
31600,,5.40,33.11,$178.79,000,999,000,No,,,,
31601,,6.00,33.11,$198.66,000,2,000,No,,,,
31603,,5.70,33.11,$188.73,000,999,000,No,,,,
31605,,4.73,33.11,$156.61,000,999,000,No,,,,
3160F,,,,Not a benefit ,,,,,,,,
31610,,7.00,33.11,$231.77,000,999,090,No,,,,
31611,,10.00,33.11,$331.10,000,999,090,No,,,,
31612,,0.30,33.11,$9.93,000,999,000,No,,,,
31613,,4.00,33.11,$132.44,000,999,090,No,,,,
31614,,9.00,33.11,$297.99,000,999,090,No,,,,
31615,,2.50,33.11,$82.78,000,999,000,No,,,,
31620,,5.75,33.11,$190.38,000,999,000,No,,,,
31622,,5.00,33.11,$165.55,000,999,000,No,,,,
31623,,5.05,33.11,$167.21,000,999,000,No,,,,
31624,,5.09,33.11,$168.53,000,999,000,No,,,,
31625,,1.40,33.11,$46.35,000,999,000,No,,,,
31626,,7.42,33.11,$245.68,000,999,000,No,,,,
31627,,20.60,33.11,$682.07,000,999,000,No,,,,
31628,,3.40,33.11,$112.57,000,999,000,No,,,,
31629,,7.07,33.11,$234.09,000,999,000,No,,,,
31630,,2.40,33.11,$79.46,000,999,000,No,,,,
31631,,6.05,33.11,$200.32,000,999,000,No,,,,
31632,,1.95,33.11,$64.56,000,999,000,No,,,,
31633,,1.37,33.11,$45.36,000,999,000,No,,,,
31634,,41.17,33.11,"$1,363.14",000,999,000,No,,,,
31635,,2.40,33.11,$79.46,000,999,000,No,,,,
31636,,5.08,33.11,$168.20,000,999,000,No,,,,
31637,,1.81,33.11,$59.93,000,999,000,No,,,,
31638,,5.66,33.11,$187.40,000,999,000,No,,,,
31640,,2.40,33.11,$79.46,000,999,000,No,,,,
31641,,6.79,33.11,$224.82,000,999,000,No,,,,
31643,,4.41,33.11,$146.02,000,999,000,No,,,,
31645,,5.00,33.11,$165.55,000,999,000,No,,,,
31646,,5.00,33.11,$165.55,000,999,000,No,,,,
3170F,,,,Not a benefit ,,,,,,,,
31717,,1.20,33.11,$39.73,000,999,000,No,,,,
31720,,0.30,33.11,$9.93,000,999,000,No,,,,
31725,,2.48,33.11,$82.11,000,999,000,No,,,,
31730,,7.62,33.11,$252.30,000,999,000,No,,,,
31750,,23.00,33.11,$761.53,000,999,090,No,,,,
31755,,25.00,33.11,$827.75,000,999,090,No,,,,
31760,,25.00,33.11,$827.75,000,999,090,No,,,,
31766,,37.99,33.11,"$1,257.85",000,999,090,No,,,,
31770,,25.00,33.11,$827.75,000,999,090,No,,,,
31775,,25.00,33.11,$827.75,000,999,090,No,,,,
31780,,25.00,33.11,$827.75,000,999,090,No,,,,
31781,,28.00,33.11,$927.08,000,999,090,No,,,,
31785,,25.00,33.11,$827.75,000,999,090,No,,,,
31786,,32.00,33.11,"$1,059.52",000,999,090,No,,,,
31800,,17.25,33.11,$571.15,000,999,090,No,,,,
31805,,21.10,33.11,$698.62,000,999,090,No,,,,
31820,,2.80,33.11,$92.71,000,999,090,No,,,,
31825,,4.20,33.11,$139.06,000,999,090,No,,,,
31830,,2.00,33.11,$66.22,000,999,090,No,,,,
31899,,,,Code is manually priced,000,999,090,No,,,,
3200F,,,,Not a benefit ,,,,,,,,
32035,,10.00,33.11,$331.10,000,999,090,No,,,,
32036,,11.00,33.11,$364.21,000,999,090,No,,,,
32096,,18.76,33.11,$621.14,000,999,090,No,,,,
32097,,18.76,33.11,$621.14,000,999,090,No,,,,
32098,,17.63,33.11,$583.73,000,999,090,No,,,,
32100,,12.00,33.11,$397.32,000,999,090,No,,,,
3210F,,,,Not a benefit ,,,,,,,,
32110,,15.00,33.11,$496.65,000,999,090,No,,,,
32120,,14.00,33.11,$463.54,000,999,090,No,,,,
32124,,16.00,33.11,$529.76,000,999,090,No,,,,
32140,,16.00,33.11,$529.76,000,999,090,No,,,,
32141,,16.00,33.11,$529.76,000,999,090,No,,,,
32150,,14.00,33.11,$463.54,000,999,090,No,,,,
32151,,15.00,33.11,$496.65,000,999,090,No,,,,
3215F,,,,Not a benefit ,,,,,,,,
32160,,11.00,33.11,$364.21,000,999,090,No,,,,
3216F,,,,Not a benefit ,,,,,,,,
3218F,,,,Not a benefit ,,,,,,,,
32200,,14.00,33.11,$463.54,000,999,090,No,,,,
3220F,,,,Not a benefit ,,,,,,,,
32215,,14.00,33.11,$463.54,000,999,090,No,,,,
32220,,20.00,33.11,$662.20,000,999,090,No,,,,
32225,,14.00,33.11,$463.54,000,999,090,No,,,,
3230F,,,,Not a benefit ,,,,,,,,
32310,,14.00,33.11,$463.54,000,999,090,No,,,,
32320,,24.00,33.11,$794.64,000,999,090,No,,,,
32400,,1.40,33.11,$46.35,000,999,000,No,,,,
32405,,2.71,33.11,$89.73,000,999,000,No,,,,
32440,,30.00,33.11,$993.30,000,999,090,No,,,,
32442,,37.50,33.11,"$1,241.63",000,999,090,No,,,,
